message,sentiment
" Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings.", Happy
 Yeah apparently lol! They do that instead of hiring people to mow!, Happy
 no but I would love to! paying hourly to hang out with adorable cats? im in!, Happy
" i guess thats where the phrase ""cat nap"" comes from", Happy
 I love to dance a lot. How about you?, Happy
 Dancing is a lot of fun. Did you know that Bruce Lee was a great dancer?, Happy
 Ha Ha!!! It was so nice chatting with you as well!! Have a nice day!!! Bye, Happy
 Yes and did get used so that is good. Nice chat, Happy
" Speaking of cats, I would love to get a glow in the dark one. They have those in South Korea.", Happy
 They are indeed very smart and that proves it. Nice chatting with you., Happy
 I do like comic books!, Happy
" I have not heard that.  I know that comic book legend Stan Lee used to end every phone conversation with ""excelsior!""", Happy
 I just read that today.  The largest comic book market is in Japan.  I believe it.  My son loves to read those mangas., Happy
 The manga market is Japan is valued at $6 to $7 billion dollars!, Happy
" I didn't know that.  I wonder how many people use it.  By comparison to Japan, the US comic book market in the US and Canada is $1.09 billion!", Happy
" I agree!  The Marvel cinematic universe takes place in earth -199999, a multiverse different from the original comic book multiverse, earth-616!", Happy
 That interesting.  Uranus is different to.  It actually rotates sideways and rolls around the sun rather than spins like the other planets., Happy
 It must be pretty big then!  I wouldn't want to ever visit the unnamed planet where shards of glass precipitate sideways at 4500 mph!, Happy
 Hahah That's a good way of putting it! , Happy
" I used to in my childhood but not any more, I used to love inspector Gadget. ", Happy
" I did saw a lot of cartoons on TV, but I don't think that considered as a comic book. have a nice day. ", Happy
" Hi! Yes, I am a huge fan of Star Wars! I also loved how it was the first major movie to be dubbed in Navajo! I think that is so cool!", Happy
" I wouldn't be surprised if cats understood it but just didn't care, LOL.", Happy
" Ha! No kidding. Speaking of dogs and cats, I like how Google prefers dogs over cats and even states in their code of conduct that they're a dog company! That is awesome!", Happy
" Yeah, that's a weird official policy for what's supposed to be a neutral search engine! Nice chatting with you.", Happy
" Well, they are good at helping people adjust to new situations, too.", Happy
 I like that too. nice chat, Happy
 Hello, Happy
 And who knows how many that are undiscovered.  Animals are truly fascinating!, Happy
 I think that is a good thing!  I like how the netherlands is constructing wildlife bridges., Happy
 Thanks., Happy
" They really love their pets huh? No, I don't have any pets. Do you?", Happy
" haha ya, well I am like the black swallower fish, I could eat a salmon twice my height and ten times my weight because I love it", Happy
" I would look around to make sure Mama tiger is not in the area and looking at me with, ""Gimme back my child"" look!", Happy
" With 20 quintillion animals in this world, why would anyone feel the need to smuggle one?", Happy
" Once domesticated, animals develop white patches on their foreheads, likely because once indoors, they run into painted walls and doors with their heads. I know i do.", Happy
" I think German constitutional right for animals are pretty cool. Pretty, pretty . I learned about that while watching the German remake of the classic film, ""12 angry hamsters""", Happy
 Does that mean putting a bag over your head while hiccupping may cause you to de-evolve? Maybe that is what happened to the Loch Ness Monster! I'm glad  she is a protected species. Hate to think someone might bag Aunt Matilda. , Happy
" Yeah. Aunt Matilda would make a better hag fish anyway, or maybe a seahorse, since they are the only fish with a neck. ", Happy
" Does that mean they never get cancer, or they get cancer forever? You know, 84% of genes associated with human disease are also found in the zebrafish, but I have never seen a zebrafish with MS or Parkinson's disease...", Happy
" Haha. If  freshwater fish can drink through it's skin, why don't you ever see a freshwater fish floating in a margarita?", Happy
" Too many to count. We've had Hamsters, snakes, scorpions, lizards, fish, cats, dogs, chickens, birds...Our apartment is getting cramped...", Happy
 I like their relationshop in the movies. Chewy is a very loyal friend, Happy
 Yes! dogs and elephants can understand pointing, Happy
" That's kind of cool, I like it when people don't take themselves too seriously.  Like when Kanye made fun of himself on SNL.  If only he'd do it more.", Happy
" I'm guessing that is because of TV and movies, we get this idea of the way it is shown when reality is somewhat different. Being self deprecating, I'd say a dunces cap suits me well.", Happy
 Or maybe we could give it to Mr West next time he wants to speak his mind to us.  , Happy
 Yes me as well! Tipping of ones hat arises from the knights raising their face visors. Very chivalry of them!, Happy
 Yes he is. But he has done some good things like giving a mic to a fan in a wheelchair at his concert., Happy
 Yes here they are much more agressive! Have a good one!, Happy
" haha yeah, I heard about that. It's been there since 1968.", Happy
" They wore pantsuits, they kept it classy. haha.", Happy
" Senate can be so cool, haha. Did you hear that in 1988 they arrested senators to force them to vote? I thought that sort of things only happened on House of Cards", Happy
" nope. But, I did hear that astronauts can vote from space.", Happy
 There must have been a big enough market for them to do that.  They have the money to do it that's for sure.  Just the box office alone the Star Wars franchise has brought in over $8.5 billion dollars!, Happy
 Nice.  He scored then big time because the entire Star Wars franchise is estimated to $65 billion dollars!, Happy
 You know it!  George Lucas' wife Marcia won an academy award for editing the film!, Happy
 Whoa!  I didn't know that.  Maybe George doesn't have as much as that $65 billion as I thought.  Yikes., Happy
 Yes!  lol  James Earl Jones took only 2.5 hours to record all of the parts for Darth Vader for the original movie., Happy
 On a sad note relating to those percentages....more than 80 percent of the earths natural forests have already been destroyed?, Happy
 I agree.  It's sad.  I had a good time chatting with you tonight!, Happy
 I thank you for your information - I learned a lot from you.  Have a good night., Happy
 Hey! Are you a Star Wars fan? I love George Lucas for creating such a cool storyline., Happy
 Yeah I have seen all the blade runner movies. They are very cool and gritty. Ridley Scott is a good director., Happy
" Yes, I heard that too! Good to know the astronauts in space can vote too!", Happy
 Oh my goodness! Really. At least we don't have to go into the forest with lions like they do in Indian government!, Happy
" Yes, keep their sugar levels up!! lol", Happy
 You too! Have a good night!!, Happy
" He was asked why he would endorse a Democrat, and he said because republicans buy shoes too.  I thought it was funny. ", Happy
